SL,District,Division,2008,2009,2010,2011,2012,2013,2014
1,BARGUNA,BARISAL,0.479,0.476,0.506,0.564,0.592,0.639,0.661
2,BARISAL,BARISAL,0.52,0.531,0.566,0.719,0.777,0.826,0.874
3,BHOLA,BARISAL,0.418,0.429,0.46,0.519,0.547,0.571,0.604
4,JHALOKATHI,BARISAL,0.486,0.501,0.52,0.658,0.696,0.723,0.739
5,PATUAKHALI,BARISAL,0.493,0.497,0.52,0.593,0.624,0.666,0.733
6,PIROJPUR,BARISAL,0.494,0.499,0.531,0.646,0.686,0.721,0.767
7,BANDARBAN,CHITTAGONG,0.59,0.601,0.61,0.605,0.615,0.778,0.682
8,BRAHMANBARIA,CHITTAGONG,0.425,0.439,0.491,0.541,0.585,0.627,0.679
9,CHANDPUR,CHITTAGONG,0.475,0.502,0.542,0.629,0.666,0.677,0.733
10,CHITTAGONG,CHITTAGONG,0.868,0.869,0.873,0.878,0.879,0.878,0.878
11,COMILLA,CHITTAGONG,0.493,0.525,0.564,0.609,0.648,0.692,0.755
12,COX'S Bazar,CHITTAGONG,0.51,0.54,0.593,0.586,0.631,0.651,0.702
13,FENI,CHITTAGONG,0.775,0.82,0.877,0.921,0.958,0.952,0.965
14,KHAGRACHHARI,CHITTAGONG,0.352,0.363,0.382,0.402,0.41,0.428,0.452
15,LAKSHMIPUR,CHITTAGONG,0.55,0.575,0.6,0.654,0.706,0.743,0.808
16,NOAKHALI,CHITTAGONG,0.552,0.581,0.634,0.678,0.721,0.754,0.82
17,RANGAMATI,CHITTAGONG,0.607,0.594,0.629,0.65,0.668,0.689,0.73
18,DHAKA,DHAKA,0.984,0.996,1,1,1,1,1
19,FARIDPUR,DHAKA,0.486,0.51,0.584,0.676,0.712,0.755,0.803
20,GAZIPUR,DHAKA,0.609,0.709,0.816,0.648,0.708,0.756,0.81
21,GOPALGANJ,DHAKA,0.432,0.436,0.485,0.606,0.63,0.655,0.714
22,JAMALPUR,DHAKA,0.455,0.459,0.503,0.552,0.576,0.612,0.634
23,KISHOREGANJ,DHAKA,0.376,0.384,0.431,0.473,0.495,0.503,0.534
24,MADARIPUR,DHAKA,0.473,0.489,0.521,0.64,0.672,0.718,0.771
25,MANIKGANJ,DHAKA,0.423,0.426,0.475,0.538,0.572,0.615,0.668
26,MUNSHIGANJ,DHAKA,0.54,0.558,0.588,0.674,0.745,0.808,0.833
27,MYMENSINGH,DHAKA,0.375,0.384,0.433,0.483,0.496,0.526,0.555
28,NARAYANGANJ,DHAKA,0.761,0.806,0.837,0.797,0.841,0.868,0.887
29,NARSINGDI,DHAKA,0.579,0.62,0.68,0.739,0.799,0.828,0.856
30,NETROKONA,DHAKA,0.385,0.384,0.426,0.446,0.446,0.454,0.468
31,RAJBARI,DHAKA,0.438,0.44,0.466,0.538,0.551,0.575,0.606
32,SHARIATPUR,DHAKA,0.418,0.442,0.487,0.575,0.607,0.647,0.69
33,SHERPUR,DHAKA,0.392,0.398,0.446,0.49,0.496,0.507,0.534
34,TANGAIL,DHAKA,0.403,0.419,0.459,0.524,0.562,0.585,0.635
35,BAGERHAT,KHULNA,0.434,0.435,0.458,0.597,0.627,0.66,0.698
36,CHUADANGA,KHULNA,0.45,0.468,0.526,0.578,0.612,0.623,0.672
37,JESSORE,KHULNA,0.591,0.604,0.689,0.772,0.813,0.819,0.835
38,JHENAIDAH,KHULNA,0.416,0.431,0.477,0.521,0.548,0.578,0.618
39,KHULNA,KHULNA,0.731,0.744,0.785,0.885,0.889,0.892,0.893
40,KUSHTIA,KHULNA,0.562,0.586,0.659,0.744,0.77,0.791,0.821
41,MAGURA,KHULNA,0.475,0.47,0.509,0.553,0.572,0.602,0.632
42,MEHERPUR,KHULNA,0.453,0.462,0.503,0.546,0.564,0.573,0.607
43,NARAIL,KHULNA,0.504,0.503,0.539,0.624,0.648,0.662,0.682
44,SATKHIRA,KHULNA,0.386,0.389,0.434,0.517,0.566,0.596,0.651
45,BOGRA,RAJSHAHI,0.545,0.572,0.632,0.71,0.745,0.753,0.771
46,CHAPAI,RAJSHAHI,0.4,0.411,0.45,0.494,0.538,0.558,0.618
47,JOYPURHAT,RAJSHAHI,0.543,0.54,0.593,0.681,0.705,0.73,0.762
48,NAOGAON,RAJSHAHI,0.44,0.446,0.495,0.568,0.598,0.614,0.653
49,NATORE,RAJSHAHI,0.452,0.452,0.49,0.539,0.567,0.589,0.63
50,PABNA,RAJSHAHI,0.496,0.506,0.552,0.605,0.655,0.696,0.742
51,RAJSHAHI,RAJSHAHI,0.596,0.622,0.68,0.761,0.772,0.795,0.827
52,SIRAJGANJ,RAJSHAHI,0.374,0.391,0.435,0.477,0.502,0.525,0.548
53,DINAJPUR,RANGPUR,0.448,0.459,0.513,0.582,0.621,0.648,0.684
54,GAIBANDAH,RANGPUR,0.4,0.408,0.453,0.501,0.503,0.502,0.515
55,KURIGRAM,RANGPUR,0.359,0.362,0.411,0.438,0.44,0.434,0.438
56,LALMONIRHAT,RANGPUR,0.417,0.422,0.449,0.484,0.497,0.504,0.529
57,NILPHAMARI,RANGPUR,0.457,0.462,0.501,0.537,0.567,0.581,0.61
58,PANCHAGARH,RANGPUR,0.448,0.451,0.504,0.515,0.539,0.553,0.56
59,RANGPUR,RANGPUR,0.439,0.459,0.516,0.569,0.602,0.634,0.665
60,THAKURGAON,RANGPUR,0.422,0.427,0.473,0.524,0.544,0.554,0.558
61,HABIGANJ,SYLHET,0.443,0.452,0.504,0.525,0.551,0.576,0.612
62,MOULVIBAZAR,SYLHET,0.642,0.671,0.708,0.748,0.787,0.804,0.827
63,SUNAMGANJ,SYLHET,0.393,0.397,0.429,0.43,0.453,0.456,0.478
64,SYLHET,SYLHET,0.83,0.878,0.899,0.883,0.887,0.894,0.898
